Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Henk Nijstad,M,SBD,Raw,47.0,45-49,,Masters 45-49,82.5,82.5,,,,,110.0,,,,,90.0,,,,,140.0,340.0,1,230.31,227.77,219.16,47.21,,Netherlands,,DPL,IPL,2022-02-27,Netherlands,,Breezand,Dutch Nationals
Coert Hoppenbrouwers,M,SBD,Raw,57.0,55-59,,M-4,79.5,82.5,160.0,180.0,190.0,,190.0,102.5,112.5,-115.0,,112.5,190.0,210.0,-217.5,,210.0,512.5,1,354.71,351.28,338.56,72.51,,Netherlands,,GPU,WPU,2016-04-16,Germany,,,Deutsche Meisterschaft
Tim Brouwers,M,SBD,Raw,28.5,24-34,24-39,Open,91.0,93,-25.0,25.0,,,25.0,125.0,-130.0,-130.0,,125.0,75.0,,,,75.0,225.0,11,144.68,142.84,136.84,29.75,Yes,Netherlands,,KNKF-SP,IPF,2020-02-01,Netherlands,,Groningen,Northside Barbell Cup
Lisette Verlaan,F,SBD,Raw,23.5,24-34,24-39,Open,56.0,57,25.0,,,,25.0,55.0,-60.0,-60.0,,55.0,65.0,,,,65.0,145.0,4,168.07,170.61,150.91,34.47,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Arjen Francke,M,SBD,Raw,20.5,20-23,19-23,Open,101.7,105,75.0,,,,75.0,135.0,140.0,-145.0,,140.0,75.0,,,,75.0,290.0,9,177.22,175.33,167.43,36.34,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Debby Van de Bos,F,SBD,Raw,38.0,35-39,24-39,Open,64.3,67.5,35.0,45.0,50.0,,50.0,32.5,-35.0,-35.0,,32.5,65.0,75.0,85.0,,85.0,167.5,2,177.94,177.15,156.38,36.17,,Netherlands,,PAGermany,WPF,2016-04-30,Germany,,Tambach Diethartz,Deutsche Meisterschaften im KDK Bankdrücken und Kreuzheben
Jaroslaw Reners,M,SBD,Raw,32.0,24-34,24-39,Novice Senior,70.8,75,60.0,75.0,85.0,,85.0,40.0,45.0,-60.0,,45.0,70.0,95.0,110.0,,110.0,240.0,1,178.87,178.31,172.72,36.06,,Netherlands,,LGBT,,2022-07-30,England,,Manchester,International Powerlifting Championships
Nicky Gorissen,M,SBD,Raw,25.0,24-34,24-39,Open,97.2,100,30.0,-32.5,,,30.0,190.0,200.0,-207.5,,200.0,75.0,,,,75.0,305.0,1,190.1,187.82,179.49,39.06,,Netherlands,,IPL,IPL,2019-10-18,Germany,,Leipzig,World Powerlifting Championships
Frank Calor,M,SBD,Raw,36.5,35-39,24-39,Open,61.98,66,70.0,,,,70.0,110.0,120.0,-130.0,,120.0,50.0,,,,50.0,240.0,3,197.33,198.81,193.8,38.68,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Reno Kleijn,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,106.84,120,-110.0,110.0,-115.0,,110.0,70.0,75.0,80.0,,80.0,140.0,155.0,-170.0,,155.0,345.0,1,206.64,204.93,195.73,42.25,Yes,Netherlands,,KNKF-SP,IPF,2020-02-23,Netherlands,NH,Oudkarspel,Dutch Sub-Juniors Classic Powerlifting Championships
Djordi Kruyt,M,SBD,Raw,20.5,20-23,19-23,Open,84.08,93,90.0,95.0,100.0,,100.0,65.0,-72.5,72.5,,72.5,120.0,130.0,142.5,,142.5,315.0,49,211.13,208.68,200.61,43.32,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Sebastiaan Tempelaars,M,SBD,Raw,30.5,24-34,24-39,Open,163.02,120+,75.0,-370.0,,,75.0,235.0,241.0,251.5,,251.5,75.0,,,,75.0,401.5,1,211.22,219.49,205.53,41.34,Yes,Netherlands,,KNKF-SP,IPF,2021-05-30,Netherlands,,Maasland,Open NK Powerliften Classic Heren
Mart Siemerink,M,SBD,Raw,20.5,20-23,19-23,Juniors,88.88,93,95.0,105.0,112.5,,112.5,72.5,-75.0,-75.0,,72.5,130.0,140.0,-155.0,,140.0,325.0,14,211.49,208.82,200.24,43.47,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Mart van Doorn,M,SBD,Raw,19.5,20-23,19-23,Juniors,81.0,83,100.0,105.0,110.0,,110.0,60.0,65.0,70.0,,70.0,122.5,130.0,-135.0,,130.0,310.0,9,212.21,210.0,202.23,43.45,Yes,Netherlands,,KNKF-SP,IPF,2021-07-17,Netherlands,,Weert,Subjunioren & Junioren NK Powerliften Classic
Myrthe Scheepers,F,SBD,Raw,24.5,24-34,24-39,Open,85.24,84+,70.0,75.0,-80.0,,75.0,47.5,-52.5,52.5,,52.5,97.5,105.0,-110.0,,105.0,232.5,4,212.46,205.85,179.76,43.66,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Narjis Regadane,F,SBD,Raw,26.5,24-34,24-39,Open,52.0,52,45.0,52.5,-57.5,,52.5,-35.0,37.5,40.0,,40.0,70.0,80.0,82.5,,82.5,175.0,2,213.31,218.16,193.38,44.19,Yes,Netherlands,,KNKF-SP,IPF,2020-02-01,Netherlands,,Groningen,Northside Barbell Cup
Myrthe Veenstra,F,SBD,Raw,21.5,20-23,19-23,Open,67.06,69,65.0,-70.0,70.0,,70.0,40.0,42.5,-45.0,,42.5,85.0,90.0,95.0,,95.0,207.5,17,215.03,212.78,187.72,43.69,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Emmy Severijns,F,SBD,Raw,26.5,24-34,24-39,Open,107.8,84+,90.0,100.0,102.5,,102.5,45.0,-50.0,50.0,,50.0,110.0,117.5,-125.0,,117.5,270.0,1,224.11,220.5,187.83,47.27,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Marjolein Egtberts,F,SBD,Raw,36.5,35-39,24-39,Open,82.56,84,-80.0,82.5,-85.0,,82.5,42.5,45.0,-50.0,,45.0,107.5,115.0,-120.0,,115.0,242.5,7,224.99,218.16,190.95,46.11,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Myrthe Scheepers,F,SBD,Raw,25.5,24-34,24-39,Open,88.84,84+,77.5,85.0,-90.0,,85.0,52.5,55.0,-57.5,,55.0,105.0,112.5,-117.5,,112.5,252.5,4,226.41,219.38,190.91,46.71,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Kelly Alvares,F,SBD,Raw,30.5,24-34,24-39,Open,118.1,84+,95.0,100.0,105.0,,105.0,47.5,52.5,-57.5,,52.5,117.5,-125.0,125.0,,125.0,282.5,13,227.71,226.55,192.14,48.56,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Kevin Evers,M,SBD,Raw,21.5,20-23,19-23,Juniors,88.7,93,115.0,-122.5,125.0,,125.0,-72.5,72.5,77.5,,77.5,140.0,147.5,152.5,,152.5,355.0,13,231.25,228.34,218.98,47.54,Yes,Netherlands,,KNKF-SP,IPF,2018-06-24,Netherlands,,Utrecht,Dutch Juniors & Sub-Juniors Championships
Isabel Van de Wijngaard,F,SBD,Raw,40.0,40-44,40-49,F-M1,64.2,70,,,,,62.5,,,,,45.0,,,,,110.0,217.5,1,231.27,230.29,203.3,47.02,Yes,Netherlands,,BDFPF,WDFPF,2019-10-12,Belgium,,,Squat Bench Powerlifting Unequipped
Rosan Diks,F,SBD,Raw,22.5,20-23,19-23,Juniors,67.98,72,70.0,75.0,82.5,,82.5,47.5,-55.0,-55.0,,47.5,90.0,95.0,-100.0,,95.0,225.0,7,231.34,228.48,201.53,47.01,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Carolien Schouten,F,SBD,Raw,44.5,40-44,40-49,Open,48.2,52,50.0,52.5,55.0,,55.0,40.0,42.5,45.0,,45.0,70.0,75.0,80.0,,80.0,180.0,5,231.58,237.67,211.48,48.69,Yes,Netherlands,,KNKF-SP,IPF,2017-06-10,Netherlands,NB,Tilburg,DRC Cup
Jeroen Koster,M,SBD,Raw,29.5,24-34,24-39,Open,87.86,93,102.5,112.5,-122.5,,112.5,62.5,67.5,70.0,,70.0,152.5,162.5,172.5,,172.5,355.0,48,232.39,229.49,220.18,47.76,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Jesse Wilbers,M,SBD,Raw,20.5,20-23,19-23,Open,79.06,83,102.5,110.0,115.0,,115.0,82.5,87.5,90.0,,90.0,112.5,122.5,130.0,,130.0,335.0,11,232.63,230.43,222.14,47.53,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Dennis Lappee,M,SBD,Raw,20.5,20-23,19-23,Open,83.08,93,-102.5,102.5,105.0,,105.0,80.0,87.5,95.0,,95.0,120.0,132.5,145.0,,145.0,345.0,18,232.78,230.16,221.38,47.73,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Carolien Schouten,F,SBD,Raw,46.5,45-49,40-49,Open,50.6,52,55.0,60.0,65.0,,65.0,42.5,-47.5,-47.5,,42.5,70.0,75.0,80.0,,80.0,187.5,3,232.96,238.7,211.83,48.49,Yes,Netherlands,,KNKF-SP,IPF,2019-09-28,Netherlands,GE,Nijmegen,SBD Cup
Michael Diebels,M,SBD,Raw,26.5,24-34,24-39,Open,79.7,83,110.0,115.0,117.5,,117.5,67.5,70.0,75.0,,75.0,130.0,137.5,145.0,,145.0,337.5,37,233.24,230.96,222.57,47.69,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Marjolein Egtberts,F,SBD,Raw,36.5,35-39,24-39,Open,83.1,84,80.0,87.5,-92.5,,87.5,42.5,45.0,-47.5,,45.0,107.5,115.0,120.0,,120.0,252.5,14,233.54,226.39,198.07,47.89,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Stephan Langeveld,M,SBD,Raw,49.5,45-49,50-59,Open,89.3,93,112.5,120.0,-125.0,,120.0,67.5,72.5,75.0,,75.0,155.0,165.0,-170.0,,165.0,360.0,70,233.7,230.74,221.22,48.04,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Semiha Jukoviqi,M,SBD,Raw,25.0,24-34,24-39,Open,72.1,75,107.5,-115.0,120.0,,120.0,-62.5,65.0,67.5,,67.5,120.0,130.0,-140.0,,130.0,317.5,1,233.74,232.71,225.24,47.25,,Netherlands,,WPU,,2012-11-01,Netherlands,,Kampen,World Championships
Carolien Schouten,F,SBD,Raw,46.5,45-49,40-49,Masters 1,50.0,52,50.0,55.0,60.0,,60.0,42.5,45.0,47.5,,47.5,75.0,80.0,-85.0,,80.0,187.5,1,234.94,240.87,213.88,49.01,Yes,Netherlands,,KNKF-SP,IPF,2019-02-02,Netherlands,GR,Groningen,Northside Barbell Cup
Emmy Severijns,F,SBD,Raw,27.5,24-34,24-39,Open,110.34,84+,95.0,102.5,-110.0,,102.5,50.0,55.0,-60.0,,55.0,115.0,122.5,130.0,,130.0,287.5,3,236.74,233.61,198.82,50.08,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Mart Siemerink,M,SBD,Raw,20.5,20-23,19-23,Open,88.17,93,115.0,122.5,-127.5,,122.5,-77.5,77.5,80.0,,80.0,145.0,155.0,160.0,,160.0,362.5,29,236.87,233.9,224.37,48.68,Yes,Netherlands,,IPF,IPF,2018-07-09,Czechia,,Pilsen,3rd World University Powerlifting Cup
Yvonne Kortsmit,F,SBD,Raw,20.5,20-23,19-23,Open,64.0,72,65.0,72.5,-80.0,,72.5,45.0,50.0,-55.0,,50.0,80.0,90.0,100.0,,100.0,222.5,2,237.03,236.14,208.47,48.19,Yes,Netherlands,,KNKF-SP,IPF,2014-09-06,Netherlands,NB,Tilburg,Qualifier Dutch Classic Powerlifting Championships
Mart van Doorn,M,SBD,Raw,19.5,20-23,19-23,Open,80.36,83,115.0,120.0,125.0,,125.0,65.0,70.0,75.0,,75.0,130.0,137.5,145.0,,145.0,345.0,22,237.27,234.87,226.26,48.55,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Henk Nijstad,M,SBD,Raw,64.0,60-64,60-69,M-5,79.7,82.5,80.0,90.0,100.0,,100.0,80.0,90.0,100.0,,100.0,130.0,140.0,145.0,,145.0,345.0,1,238.42,236.09,227.52,48.75,,Netherlands,,GPU,WPU,2022-05-02,Germany,,,Deutsche Meisterschaft
Jesse Snijders,M,SBD,Raw,18.5,18-19,19-23,Juniors,88.9,93,165.0,172.5,180.0,,180.0,125.0,-132.5,-132.5,,125.0,65.0,,,,65.0,370.0,22,240.74,237.71,227.94,49.49,Yes,Netherlands,,KNKF-SP,IPF,2020-03-07,Netherlands,NH,Oudkarspel,Dutch Juniors Classic Powerlifting Championships
Kevin Evers,M,SBD,Raw,22.5,20-23,19-23,Open,100.3,105,137.5,-145.0,-145.0,,137.5,90.0,-95.0,95.0,,95.0,160.0,-170.0,-175.0,,160.0,392.5,8,241.28,238.59,227.87,49.51,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Erik Mollers,M,SBD,Raw,25.5,24-34,24-39,Open,108.32,120,-140.0,140.0,-150.0,,140.0,95.0,100.0,102.5,,102.5,165.0,-175.0,-175.0,,165.0,407.5,7,242.77,240.97,230.21,49.59,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Kevin Evers,M,SBD,Raw,22.5,20-23,19-23,Juniors,97.0,105,130.0,135.0,-140.0,,135.0,-85.0,85.0,90.0,,90.0,150.0,-160.0,165.0,,165.0,390.0,13,243.31,240.37,229.73,49.99,Yes,Netherlands,,KNKF-SP,IPF,2019-06-22,Netherlands,UT,Utrecht,Dutch Juniors & Sub-Juniors Championships
Kimberley van der Graaff,F,SBD,Raw,22.5,20-23,19-23,Open,79.5,84,92.5,97.5,102.5,,102.5,42.5,45.0,-47.5,,45.0,105.0,110.0,-112.5,,110.0,257.5,2,243.39,236.44,207.43,49.74,Yes,Netherlands,,KNKF-SP,IPF,2021-12-18,Netherlands,,Wezep,PWG Cup Powerliften Classic
Roëlle Bosma,F,SBD,Raw,23.5,24-34,24-39,Open,67.6,69,77.5,82.5,-87.5,,82.5,45.0,47.5,-50.0,,47.5,100.0,105.0,107.5,,107.5,237.5,5,244.98,242.14,213.6,49.78,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Mart van Doorn,M,SBD,Raw,19.5,20-23,19-23,Open,80.84,83,120.0,125.0,127.5,,127.5,75.0,80.0,-85.0,,80.0,135.0,142.5,150.0,,150.0,357.5,26,245.01,242.48,233.52,50.15,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Lesley van Ginkel,F,SBD,Raw,29.5,24-34,24-39,Open,102.78,84+,90.0,95.0,100.0,,100.0,47.5,52.5,55.0,,55.0,125.0,137.5,-147.5,,137.5,292.5,6,247.01,241.67,206.88,51.79,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Noud de Jong,M,SBD,Raw,24.5,24-34,24-39,Open,94.76,105,130.0,-135.0,135.0,,135.0,87.5,-90.0,-90.0,,87.5,150.0,157.5,170.0,,170.0,392.5,32,247.52,244.43,233.78,50.88,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Kira Hornbostel,F,SBD,Raw,23.5,24-34,24-39,Open,62.54,63,72.5,-77.5,-77.5,,72.5,-52.5,52.5,55.0,,55.0,92.5,97.5,102.5,,102.5,230.0,8,248.48,248.39,219.35,50.56,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Carolien Schouten,F,SBD,Raw,46.5,45-49,40-49,Masters 1,50.48,52,57.5,62.5,67.5,,67.5,42.5,45.0,47.5,,47.5,72.5,80.0,85.0,,85.0,200.0,12,248.91,255.07,226.38,51.83,Yes,Netherlands,,KNKF-SP,IPF,2019-10-20,Netherlands,GE,Apeldoorn,Dutch Classic Masters Championships
Gerben Timmer,M,SBD,Raw,19.5,20-23,19-23,Open,94.9,105,110.0,122.5,140.0,,140.0,85.0,-92.5,-92.5,,85.0,160.0,170.0,-182.5,,170.0,395.0,7,248.92,245.82,235.1,51.17,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Kimberley van der Graaff,F,SBD,Raw,23.5,24-34,24-39,Open,80.38,84,92.5,-97.5,100.0,,100.0,45.0,47.5,-50.0,,47.5,105.0,110.0,117.5,,117.5,265.0,6,249.11,241.84,212.03,50.95,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Mette Dhond,F,SBD,Raw,24.5,24-34,24-39,Open,71.8,76,80.0,87.5,-95.0,,87.5,-50.0,50.0,-57.5,,50.0,105.0,112.5,-120.0,,112.5,250.0,25,249.28,244.46,215.35,50.7,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Jur Slager,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,78.5,83,115.0,122.5,130.0,,130.0,-72.5,72.5,80.0,,80.0,130.0,140.0,147.5,,147.5,357.5,7,249.31,247.04,238.23,50.91,Yes,Netherlands,,KNKF-SP,IPF,2020-02-23,Netherlands,NH,Oudkarspel,Dutch Sub-Juniors Classic Powerlifting Championships
Tamara Jetten,F,SBD,Raw,24.5,24-34,24-39,Open,71.75,72,80.0,87.5,-92.5,,87.5,42.5,45.0,47.5,,47.5,100.0,110.0,115.0,,115.0,250.0,6,249.37,244.58,215.46,50.72,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Naomi Otten,F,SBD,Raw,24.5,24-34,24-39,Open,71.64,72,87.5,95.0,-100.0,,95.0,42.5,45.0,47.5,,47.5,95.0,102.5,107.5,,107.5,250.0,18,249.58,244.83,215.69,50.76,Yes,Netherlands,,KNKF-SP,IPF,2019-12-07,Netherlands,NB,Veldhoven,DRC Cup
Rosan Diks,F,SBD,Raw,22.5,20-23,19-23,Juniors,67.65,72,-77.5,-77.5,77.5,,77.5,50.0,55.0,-57.5,,55.0,95.0,102.5,110.0,,110.0,242.5,5,250.04,247.11,217.97,50.8,Yes,Netherlands,,KNKF-SP,IPF,2018-06-24,Netherlands,,Utrecht,Dutch Juniors & Sub-Juniors Championships
Wytske Zevenboom,F,SBD,Raw,22.5,20-23,19-23,Open,87.88,84+,100.0,105.0,110.0,,110.0,50.0,52.5,55.0,,55.0,107.5,112.5,-125.0,,112.5,277.5,4,250.05,242.24,211.02,51.53,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Olivia Meng,F,SBD,Raw,22.5,20-23,19-23,Open,66.24,69,85.0,-92.5,92.5,,92.5,35.0,37.5,-42.5,,37.5,95.0,102.5,110.0,,110.0,240.0,4,250.5,248.31,219.11,50.9,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Carolien Schouten,F,SBD,Raw,49.5,45-49,50-59,Open,53.6,57,55.0,62.5,65.0,,65.0,42.5,45.0,-50.0,,45.0,90.0,95.0,100.0,,100.0,210.0,13,250.69,255.7,226.43,51.7,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Mart Siemerink,M,SBD,Raw,20.5,20-23,19-23,Juniors,91.23,93,120.0,130.0,135.0,,135.0,77.5,-82.5,82.5,,82.5,155.0,165.0,175.0,,175.0,392.5,10,252.08,248.87,238.38,51.83,Yes,Netherlands,,KNKF-SP,IPF,2018-10-13,Netherlands,ZH,Delft,Dutch Student Championships
Ruth Hellendoorn,M,SBD,Raw,23.0,20-23,19-23,Open,125.0,125,140.0,145.0,150.0,,150.0,90.0,95.0,100.0,,100.0,170.0,185.0,195.0,,195.0,445.0,1,252.21,253.58,242.67,50.83,,Netherlands,,WPF,,2013-11-01,Germany,,Coburg,World Cup
Wendy van der Gun,F,SBD,Raw,39.5,35-39,40-49,Masters 1,68.86,72,80.0,82.5,87.5,,87.5,50.0,-52.5,-52.5,,50.0,100.0,105.0,110.0,,110.0,247.5,11,252.62,249.05,219.62,51.33,Yes,Netherlands,,KNKF-SP,IPF,2019-10-20,Netherlands,GE,Apeldoorn,Dutch Classic Masters Championships
Simon Freire Do Vale Matos,M,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,63.84,66,95.0,100.0,-107.5,,100.0,72.5,-75.0,75.0,,75.0,140.0,-147.5,-147.5,,140.0,315.0,3,253.09,254.33,247.54,49.98,Yes,Netherlands,,KNKF-SP,IPF,2020-02-23,Netherlands,NH,Oudkarspel,Dutch Sub-Juniors Classic Powerlifting Championships
Mart Siemerink,M,SBD,Raw,22.5,20-23,19-23,Juniors,91.6,93,120.0,127.5,132.5,,132.5,82.5,-87.5,-87.5,,82.5,165.0,172.5,180.0,,180.0,395.0,21,253.18,249.96,239.38,52.06,Yes,Netherlands,,KNKF-SP,IPF,2020-03-07,Netherlands,NH,Oudkarspel,Dutch Juniors Classic Powerlifting Championships
Emmica de Smet,F,SBD,Raw,31.5,24-34,24-39,Open,74.9,76,82.5,-90.0,90.0,,90.0,47.5,52.5,-55.0,,52.5,105.0,110.0,117.5,,117.5,260.0,24,253.41,247.37,217.61,51.62,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Anell Roos,F,SBD,Raw,30.5,24-34,24-39,Open,68.4,69,82.5,90.0,95.0,,95.0,35.0,40.0,42.5,,42.5,92.5,100.0,110.0,,110.0,247.5,15,253.58,250.23,220.69,51.53,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Pien van Leeuwen,F,SBD,Raw,22.5,20-23,19-23,Juniors,100.18,84+,92.5,100.0,105.0,,105.0,60.0,62.5,-65.0,,62.5,112.5,120.0,130.0,,130.0,297.5,3,253.69,247.56,212.63,53.03,Yes,Netherlands,,KNKF-SP,IPF,2022-04-16,Netherlands,,Weert,Junioren NK Powerliften Dames
Kirsten Betsema,F,SBD,Raw,19.5,20-23,19-23,Open,60.48,63,-80.0,80.0,-90.0,,80.0,45.0,-47.5,-50.0,,45.0,97.5,105.0,-110.0,,105.0,230.0,7,253.69,254.85,225.15,51.7,Yes,Netherlands,,KNKF-SP,IPF,2021-12-18,Netherlands,,Wezep,PWG Cup Powerliften Classic
Simon Freire Do Vale Matos,M,SBD,Raw,16.5,16-17,14-18,Open,65.58,66,95.0,105.0,-110.0,,105.0,70.0,77.5,-82.5,,77.5,130.0,135.0,140.0,,140.0,322.5,4,253.89,254.56,247.44,50.44,Yes,Netherlands,,KNKF-SP,IPF,2020-09-20,Netherlands,,Weert,Loods 37 Cup Powerlifting Classic
Rosa Stienstra,F,SBD,Raw,21.5,20-23,19-23,Open,62.25,63,75.0,-80.0,80.0,,80.0,40.0,42.5,-45.0,,42.5,100.0,107.5,112.5,,112.5,235.0,5,254.6,254.69,224.93,51.82,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Harm Kuipers,M,SBD,Raw,26.0,24-34,24-39,Open,140.0,140,130.0,140.0,150.0,,150.0,100.0,110.0,-125.0,,110.0,180.0,195.0,205.0,,205.0,465.0,1,254.83,259.85,246.99,50.69,,Netherlands,,WPF,,2013-11-01,Germany,,Coburg,World Cup
Daan Dankers,M,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,72.28,74,100.0,107.5,112.5,,112.5,70.0,75.0,-77.5,,75.0,150.0,160.0,-162.5,,160.0,347.5,5,255.39,254.24,246.04,51.64,Yes,Netherlands,,KNKF-SP,IPF,2020-02-23,Netherlands,NH,Oudkarspel,Dutch Sub-Juniors Classic Powerlifting Championships
Emmy Severijns,F,SBD,Raw,28.5,24-34,24-39,Open,104.86,84+,102.5,110.0,-115.0,,110.0,60.0,-65.0,-65.0,,60.0,120.0,127.5,135.0,,135.0,305.0,2,255.66,250.71,214.04,53.74,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Steffen van Dalen,M,SBD,Raw,24.0,24-34,24-39,Open,98.4,100,107.5,110.0,112.5,,112.5,107.5,115.0,120.0,,120.0,150.0,165.0,180.0,,180.0,412.5,1,255.7,252.7,241.43,52.51,,Netherlands,,WPF,,2014-06-13,Germany,,Altena,European Championships
Wasila Moktefi,F,SBD,Raw,22.5,20-23,19-23,Open,90.42,84+,100.0,107.5,112.5,,112.5,55.0,60.0,62.5,,62.5,105.0,112.5,-122.5,,112.5,287.5,3,255.79,247.94,215.42,52.86,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Henk Nijstad,M,SBD,Raw,63.0,60-64,60-69,Masters 60-64,79.5,82.5,100.0,110.0,-120.0,,110.0,90.0,100.0,-105.0,,100.0,140.0,150.0,160.0,,160.0,370.0,1,256.08,253.6,244.42,52.35,,Netherlands,,IPL,IPL,2021-11-26,England,,Coventry,World Powerlifting Championship
Stanislav Radosh,M,SBD,Raw,21.5,20-23,19-23,Open,82.9,83,-110.0,110.0,120.0,,120.0,82.5,87.5,-92.5,,87.5,165.0,172.5,-177.5,,172.5,380.0,10,256.71,253.83,244.18,52.63,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Sylvia Deemter,F,SBD,Raw,53.5,50-54,50-59,Open,65.5,69,80.0,90.0,-97.5,,90.0,37.5,40.0,-42.5,,40.0,107.5,115.0,-120.0,,115.0,245.0,42,257.42,255.58,225.57,52.31,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Roëlle Bosma,F,SBD,Raw,24.5,24-34,24-39,Open,68.5,69,85.0,-92.5,92.5,,92.5,45.0,-47.5,50.0,,50.0,105.0,-110.0,110.0,,110.0,252.5,16,258.49,255.02,224.9,52.52,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
