Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Matthijs Weltens,M,SBD,Raw,20.5,20-23,19-23,Open,80.9,83,170.0,180.0,187.5,,187.5,100.0,107.5,112.5,,112.5,220.0,237.5,250.0,,250.0,550.0,13,376.78,372.87,359.09,77.13,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Sevde Bayrak,F,SBD,Raw,24.5,24-34,24-39,Open,68.32,69,122.5,130.0,135.0,,135.0,67.5,-72.5,-72.5,,67.5,150.0,-152.5,165.0,,165.0,367.5,5,376.78,371.86,327.96,76.56,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Twan Damhuis,M,SBD,Raw,22.5,20-23,19-23,Juniors,80.24,83,180.0,190.0,195.0,,195.0,107.5,115.0,120.0,,120.0,-220.0,220.0,232.5,,232.5,547.5,10,376.86,373.07,359.42,77.1,Yes,Netherlands,,KNKF-SP,IPF,2022-04-23,Netherlands,,Weert,Junioren NK Powerliften Heren
Eva de Langen,F,SBD,Raw,21.5,20-23,19-23,Juniors,56.62,57,112.5,115.0,-117.5,,115.0,57.5,60.0,62.5,,62.5,140.0,145.0,150.0,,150.0,327.5,2,376.86,382.03,337.84,77.21,Yes,Netherlands,,KNKF-SP,IPF,2018-06-24,Netherlands,,Utrecht,Dutch Juniors & Sub-Juniors Championships
David Vesseur,M,SBD,Raw,21.5,20-23,19-23,Open,71.7,74,185.0,-192.5,-192.5,,185.0,105.0,112.5,117.5,,117.5,195.0,207.5,-212.5,,207.5,510.0,5,376.86,375.35,363.37,76.11,Yes,Netherlands,,KNKF-SP,IPF,2017-06-10,Netherlands,NB,Tilburg,DRC Cup
Olivier Tijhuis,M,SBD,Raw,21.5,20-23,19-23,Open,79.0,83,170.0,180.0,187.5,,187.5,117.5,122.5,125.0,,125.0,230.0,-240.0,-240.0,,230.0,542.5,17,376.89,373.34,359.93,77.01,Yes,Netherlands,,KNKF-SP,IPF,2017-12-09,Netherlands,NB,Veldhoven,Dutch Classic Powerlifting Championships
Di Ke Wu,M,SBD,Raw,20.5,20-23,19-23,Open,73.26,74,172.5,177.5,-180.0,,177.5,135.0,140.0,-145.0,,140.0,200.0,,,,200.0,517.5,4,376.96,374.93,362.63,76.37,Yes,Netherlands,,EPF,IPF,2020-02-25,France,,Merignac,European University Cup
Daniel van Wezel,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,73.8,74,-182.5,185.0,195.0,,195.0,100.0,110.0,115.0,,115.0,185.0,195.0,210.0,,210.0,520.0,1,376.96,374.76,362.36,76.45,Yes,Netherlands,,KNKF-SP,IPF,2016-04-16,Netherlands,NH,Noord-Scharwoude,Dutch Juniors & Sub-Juniors Championships
Marlinde Gras,F,SBD,Raw,28.5,24-34,24-39,Open,63.0,63,115.0,125.0,130.5,,130.5,62.5,65.0,-70.0,,65.0,150.0,-155.0,155.0,,155.0,350.5,1,376.97,376.42,332.39,76.68,Yes,Netherlands,,KNKF-SP,IPF,2016-06-11,Netherlands,NB,Tilburg,DRC Cup
Fabbio Hu,M,SBD,Raw,23.5,24-34,24-39,Open,65.33,66,155.0,162.5,170.0,,170.0,100.0,105.0,110.0,,110.0,-197.5,197.5,-207.5,,197.5,477.5,3,376.99,378.11,367.59,74.84,Yes,Netherlands,,EPF,IPF,2017-09-14,Luxembourg,,Hamm,Western European Championships
Guillaume Ariës,M,SBD,Raw,23.5,24-34,24-39,Open,86.14,93,190.0,-197.5,197.5,,197.5,130.0,137.5,142.5,,142.5,205.0,220.0,230.0,,230.0,570.0,5,377.04,372.46,357.67,77.44,Yes,Netherlands,,KNKF-SP,IPF,2020-02-01,Netherlands,,Groningen,Northside Barbell Cup
Sjoerd Dijkstra,M,SBD,Raw,25.5,24-34,24-39,Open,90.52,93,200.0,210.0,-215.0,,210.0,127.5,132.5,-135.0,,132.5,225.0,235.0,242.5,,242.5,585.0,26,377.17,372.37,356.8,77.55,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Marcha Wieringa,F,SBD,Raw,19.5,20-23,19-23,Juniors,82.94,84,142.5,-147.5,,,142.5,75.0,80.0,82.5,,82.5,172.5,177.5,182.5,,182.5,407.5,1,377.24,365.73,320.02,77.34,Yes,Netherlands,,KNKF-SP,IPF,2022-04-16,Netherlands,,Weert,Junioren NK Powerliften Dames
Eva de Langen,F,SBD,Raw,22.5,20-23,19-23,Open,62.04,63,117.5,122.5,125.0,,125.0,57.5,60.0,62.5,,62.5,150.0,157.5,160.0,,160.0,347.5,6,377.27,377.58,333.48,76.79,Yes,Netherlands,,KNKF-SP,IPF,2019-12-07,Netherlands,NB,Veldhoven,DRC Cup
